"Team","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch"
"SFG","9.42","-104.03","113.45","99.35","9.86","0.96","1.19","406","9.17","0.66"
"TBR","8.69","-107.87","116.56","143.47","14.71","1.00","2.00","120","9.10","-0.41"
"HOU","6.67","-103.23","109.90","144.30","14.79","0.95","1.54","94","7.90","-0.85"
"BOS","5.44","-106.81","112.25","67.35","5.99","0.98","1.73","92","4.03","1.51"
"LAD","4.77","-106.04","110.81","121.10","12.54","0.96","1.29","274","6.88","-1.93"
"CHW","4.30","-101.76","106.06","74.05","7.41","0.94","1.55","83","7.43","-2.87"
"OAK","3.57","-107.04","110.61","30.48","3.07","1.00","1.48","158","1.86","1.72"
"SEA","2.78","-105.27","108.05","-10.96","-1.16","0.98","1.51","101","-5.88","8.71"
"TOR","1.96","-100.71","102.67","96.67","9.07","0.91","1.26","100","7.46","-5.31"
"NYY","1.71","-110.70","112.41","-21.69","-2.12","1.02","1.89","94","-0.76","2.44"
"STL","1.27","-94.78","96.05","11.80","1.39","0.89","0.88","256","2.85","-1.43"
"PHI","0.60","-107.32","107.92","8.90","0.61","1.00","1.26","275","-2.61","3.20"
"ATL","0.04","-106.15","106.19","63.17","6.39","0.98","1.23","272","2.22","-2.17"
"MIL","-2.91","-105.84","102.93","2.72","0.31","0.98","1.27","292","-4.38","1.41"
"LAA","-3.52","-100.56","97.04","-14.45","-1.61","0.93","1.50","74","-2.49","-1.32"
"SDP","-3.95","-107.21","103.26","24.18","2.65","1.00","1.26","305","-0.34","-3.61"
"CIN","-4.20","-110.22","106.01","24.81","2.03","0.98","1.26","299","0.09","-4.38"
"KCR","-4.26","-104.23","99.97","-68.19","-6.79","0.95","1.30","80","-7.15","2.67"
"CLE","-4.71","-104.52","99.82","-17.55","-1.75","0.96","1.11","89","-4.25","-0.66"
"WSN","-4.81","-114.08","109.27","2.29","0.40","1.02","1.25","282","-0.38","-4.33"
"CHC","-5.52","-108.80","103.28","-23.70","-2.40","0.99","1.24","306","-4.75","-0.81"
"MIN","-6.23","-110.93","104.70","-15.02","-1.52","0.99","1.58","111","-3.51","-2.77"
"NYM","-7.43","-116.92","109.49","-17.24","-1.58","1.11","1.55","292","-2.85","-3.83"
"COL","-8.37","-112.56","104.19","-62.48","-6.91","1.01","1.18","278","-6.81","-1.47"
"DET","-8.51","-112.39","103.89","-47.17","-4.85","1.02","1.82","72","-7.45","-0.91"
"PIT","-9.76","-109.87","100.11","-107.74","-10.46","1.03","1.19","289","-12.44","2.99"
"ARI","-11.72","-113.76","102.04","-69.11","-7.00","1.01","1.18","336","-8.91","-2.68"
"MIA","-12.08","-113.44","101.37","-73.75","-7.49","1.04","1.27","270","-12.32","0.69"
"BAL","-13.15","-105.62","92.47","-95.85","-9.46","0.94","1.56","85","-9.70","-4.32"
"TEX","-16.28","-109.97","93.70","-117.17","-11.73","0.98","1.48","88","-14.80","-1.77"
