Gm#,Date,Tm,HomeAway,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Year
1,"Monday, Apr 1",SEA,,CHW,L,5,6,,0-1,2,1.0,Buehrle,Garcia,Foulke,3:18,D,"46,036",1.00,-,,2002
2,"Tuesday, Apr 2",SEA,,CHW,W,7,4,,1-1,2,1.0,Rhodes,Barcelo,Sasaki,3:03,N,"40,805",1.00,+,,2002
3,"Wednesday, Apr 3",SEA,,CHW,W,7,6,,2-1,2,1.0,Franklin,Foulke,,2:50,N,"31,082",1.01,++,,2002
4,"Friday, Apr 5",SEA,,OAK,W,7,1,,3-1,1,up 0.5,Baldwin,Hiljus,,2:27,N,"40,303",1.25,+++,,2002
5,"Saturday, Apr 6",SEA,,OAK,L,3,8,,3-2,2,0.5,Mulder,Garcia,,3:12,N,"45,093",1.29,-,,2002
6,"Sunday, Apr 7",SEA,,OAK,L,5,6,,3-3,3,1.5,Hudson,Moyer,Koch,3:54,N,"39,870",1.28,--,,2002
7,"Monday, Apr 8",SEA,@,ANA,W,5,4,,4-3,2,1.0,Hasegawa,Weber,Sasaki,3:23,N,"16,908",1.19,+,,2002
8,"Tuesday, Apr 9",SEA,@,ANA,W,5,1,,5-3,2,1.0,Halama,Appier,,2:54,N,"17,210",1.29,++,,2002
9,"Wednesday, Apr 10",SEA,@,ANA,W,8,1,,6-3,1,Tied,Baldwin,Sele,,2:22,N,"17,784",1.27,+++,,2002
10,"Thursday, Apr 11",SEA,@,ANA,W,8,4,,7-3,1,up 1.0,Garcia,Schoeneweis,,2:35,N,"18,806",1.33,++++,,2002
11,"Friday, Apr 12",SEA,@,TEX,W,7,3,,8-3,1,up 1.0,Moyer,Valdez,,3:13,N,"32,870",1.36,+++++,,2002
12,"Saturday, Apr 13",SEA,@,TEX,W,9,4,,9-3,1,up 1.0,Abbott,Irabu,,3:12,N,"39,644",1.35,++++++,,2002
13,"Sunday, Apr 14",SEA,@,TEX,W,9,7,,10-3,1,up 2.0,Hasegawa,Seanez,Sasaki,3:39,D,"32,866",1.31,+++++++,,2002
14,"Monday, Apr 15",SEA,@,TEX,W,13,11,10,11-3,1,up 2.5,Sasaki,Miceli,Hasegawa,3:42,N,"20,208",1.30,++++++++,,2002
15,"Tuesday, Apr 16",SEA,@,OAK,W,6,2,7,12-3,1,up 3.5,Pineiro,Lidle,,2:23,N,"13,022",1.49,+++++++++,,2002
16,"Wednesday, Apr 17",SEA,@,OAK,W,7,4,,13-3,1,up 4.5,Moyer,Hudson,Sasaki,3:43,N,"31,260",1.46,++++++++++,,2002
17,"Friday, Apr 19",SEA,,TEX,L,0,9,,13-4,1,up 4.0,Rogers,Abbott,,2:52,N,"45,346",1.26,-,,2002
18,"Saturday, Apr 20",SEA,,TEX,W,3,2,11,14-4,1,up 4.0,Hasegawa,Michalak,,3:44,N,"45,354",1.32,+,,2002
19,"Sunday, Apr 21",SEA,,TEX,W,5,3,,15-4,1,up 4.0,Garcia,Davis,Sasaki,2:35,D,"45,448",1.27,++,,2002
20,"Monday, Apr 22",SEA,,ANA,W,16,5,,16-4,1,up 4.5,Moyer,Schoeneweis,,2:59,N,"33,119",1.28,+++,,2002
21,"Tuesday, Apr 23",SEA,,ANA,W,1,0,,17-4,1,up 5.5,Franklin,Ortiz,Sasaki,2:25,N,"32,127",1.23,++++,,2002
22,"Wednesday, Apr 24",SEA,,ANA,L,6,10,,17-5,1,up 5.5,Washburn,Abbott,,3:27,N,"37,212",1.14,-,,2002
23,"Friday, Apr 26",SEA,,NYY,L,1,7,,17-6,1,up 4.0,Clemens,Baldwin,,2:48,N,"45,814",1.08,--,,2002
24,"Saturday, Apr 27",SEA,,NYY,W,1,0,,18-6,1,up 4.0,Garcia,Lilly,Sasaki,2:28,N,"46,047",1.17,+,,2002
25,"Sunday, Apr 28",SEA,,NYY,L,3,4,,18-7,1,up 3.0,Karsay,Rhodes,Rivera,3:11,D,"46,115",1.11,-,,2002
26,"Tuesday, Apr 30",SEA,@,CHW,L,4,8,,18-8,1,up 3.0,Wright,Abbott,,2:41,N,"16,253",1.18,--,,2002
27,"Wednesday, May 1",SEA,@,CHW,L,2,9,8,18-9,1,up 2.0,Garland,Franklin,Glover,2:50,N,"12,735",1.26,---,,2002
28,"Thursday, May 2",SEA,@,CHW,W,15,4,,19-9,1,up 3.0,Baldwin,Rauch,,3:00,N,"12,891",1.25,+,,2002
29,"Friday, May 3",SEA,@,NYY,W,6,2,,20-9,1,up 4.0,Garcia,Lilly,,2:55,N,"47,918",1.27,++,,2002
30,"Saturday, May 4",SEA,@,NYY,W,9,5,,21-9,1,up 5.0,Nelson,Karsay,,3:30,D,"52,081",1.27,+++,,2002
31,"Sunday, May 5",SEA,@,NYY,W,10,6,,22-9,1,up 5.0,Pineiro,Wells,,2:59,D,"48,176",1.21,++++,,2002
