Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Precious Achiuwa,C,23,TOR,12,245,14.1,.493,.304,.359,10.3,29.8,19.3,9.4,0.4,2.9,12.3,20.8,0.1,0.3,0.3,.067,-1.9,-1.8,-3.8,-0.1
2,Steven Adams,C,29,MEM,18,474,15.3,.566,.000,.516,19.0,25.1,22.0,10.9,1.4,3.3,27.4,13.9,0.2,0.7,0.9,.087,-1.9,0.1,-1.8,0.0
3,Bam Adebayo,C,25,MIA,18,623,18.9,.583,.030,.362,8.4,23.5,15.7,17.0,1.5,2.4,15.4,25.6,0.6,0.9,1.6,.120,-0.3,0.7,0.4,0.4
4,Ochai Agbaji,SG,22,UTA,6,67,6.6,.453,.316,.368,6.6,9.9,8.2,2.0,0.0,0.0,0.0,13.8,0.0,0.0,0.0,.023,-4.6,-3.7,-8.3,-0.1
5,Santi Aldama,PF,22,MEM,18,473,14.1,.550,.476,.221,6.6,17.2,11.9,5.1,1.8,3.5,5.9,14.7,0.6,0.6,1.2,.127,-0.6,1.0,0.4,0.3
6,Nickeil Alexander-Walker,SG,24,UTA,12,125,10.9,.511,.535,.209,2.6,8.0,5.3,18.0,3.1,2.6,17.6,19.1,0.0,0.1,0.1,.045,-2.7,0.3,-2.3,0.0
7,Grayson Allen,SG,27,MIL,16,424,13.5,.624,.626,.357,4.0,9.0,6.6,13.1,1.5,0.8,14.2,15.3,0.7,0.6,1.3,.147,0.0,0.8,0.8,0.3
8,Jarrett Allen,C,24,CLE,17,544,18.2,.626,.013,.325,11.2,28.0,19.9,6.1,0.8,3.6,13.7,17.2,1.0,0.9,1.9,.170,0.7,0.9,1.6,0.5
9,Jose Alvarado,PG,24,NOP,19,379,14.1,.577,.515,.108,2.4,11.3,6.8,21.9,2.5,1.0,16.0,18.2,0.4,0.5,0.9,.108,-0.7,0.9,0.2,0.2
10,Kyle Anderson,PF,29,MIN,14,281,14.9,.614,.258,.355,3.2,15.4,9.6,17.3,2.3,3.8,17.3,13.0,0.4,0.4,0.8,.133,0.1,2.5,2.6,0.3
11,Giannis Antetokounmpo,PF,28,MIL,15,492,28.3,.573,.143,.590,6.1,30.1,18.3,34.4,1.4,2.7,12.3,39.3,0.9,1.1,2.0,.191,5.5,3.0,8.4,1.3
12,Thanasis Antetokounmpo,SF,30,MIL,9,24,3.3,.000,.000,.000,8.9,25.9,17.6,9.9,0.0,3.5,66.7,5.2,0.0,0.0,0.0,.002,-7.2,1.4,-5.9,0.0
13,Cole Anthony,PG,22,ORL,4,122,14.1,.520,.377,.283,2.9,14.2,8.8,21.9,1.2,2.3,11.8,24.0,0.1,0.1,0.2,.066,-0.1,0.0,-0.1,0.1
14,OG Anunoby,SF,25,TOR,19,695,16.2,.560,.314,.245,4.4,15.8,9.6,9.3,3.3,2.7,14.2,22.6,0.3,1.0,1.3,.089,-0.4,0.9,0.5,0.4
15,Ryan Arcidiacono,PG,28,NYK,5,14,1.8,.000,.667,.000,0.0,15.2,7.5,8.4,6.8,0.0,0.0,8.9,-0.1,0.0,0.0,-0.081,-11.6,6.2,-5.4,0.0
16,Deni Avdija,SF,22,WAS,19,462,9.7,.500,.395,.248,4.8,18.4,11.7,14.3,1.2,2.8,17.3,16.4,-0.2,0.6,0.4,.046,-3.9,0.7,-3.2,-0.1
17,Deandre Ayton,C,24,PHO,17,491,21.1,.622,.054,.212,12.0,25.2,18.5,11.8,1.0,2.4,12.6,22.1,1.1,0.7,1.8,.176,2.0,0.0,2.1,0.5
18,Udoka Azubuike,C,23,UTA,6,21,29.7,.833,.000,.000,15.7,36.8,26.2,7.4,4.6,7.7,25.0,15.9,0.0,0.1,0.1,.234,4.3,3.9,8.2,0.1
19,Marvin Bagley III,PF,23,DET,8,188,19.8,.634,.114,.186,11.0,16.1,13.5,3.6,1.5,2.8,8.5,18.5,0.4,0.1,0.5,.139,0.9,-0.8,0.1,0.1
20,Patrick Baldwin Jr.,SF,20,GSW,4,24,13.3,.500,.800,.000,0.0,27.0,13.8,0.0,5.9,0.0,9.1,19.3,0.0,0.1,0.0,.029,-1.7,2.0,0.3,0.0
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
21,LaMelo Ball,PG,21,CHO,3,98,13.9,.525,.604,.094,0.0,12.4,6.0,35.0,1.5,0.9,16.6,28.2,0.0,0.1,0.1,.027,0.4,-3.1,-2.7,0.0
22,Mo Bamba,C,24,ORL,18,344,15.6,.590,.457,.267,7.6,19.8,14.0,9.8,0.7,3.9,11.0,18.3,0.5,0.3,0.9,.120,0.2,0.0,0.2,0.2
23,Paolo Banchero,PF,20,ORL,12,417,18.7,.556,.224,.498,3.1,21.8,12.9,17.4,1.1,2.3,12.9,29.8,0.3,0.4,0.7,.086,1.0,-0.8,0.2,0.2
