Rank,Team,Age,Wins,Losses,Pythagorean_Wins,Pythagorean_Losses,MarginOfVictory,Strength_of_Schedule,Simple_Rating_System,Offensive_Rating,Defensive_Rating,Net_Rating,Pace_Factor,FreeThrow_Attempt_Rate,ThreePoint_Attempt_Rate,TrueShooting_Percentage,Effective_FieldGoal_Percentage,Turnover_Percentage,Offensive_Rebound_Percentage,FreeThrows_per_FieldGoal_Attempt,Opp_Effective_FieldGoal_Percentage,Opp_Turnover_Percentage,Defensive_Rebound_Percentage,Opp_FreeThrows_per_FieldGoal_Attempt,Arena,Attendance,Attendance_per_Game
1,Boston Celtics,27.4,15,4,13,6,6.95,0.55,7.5,119.6,112.6,7,99.1,0.259,0.476,0.62,0.582,11.9,18.3,0.219,0.528,11.4,77.4,0.193,TD Garden,"153,248","17,028"
2,Phoenix Suns,27.7,13,6,13,6,6.89,-0.53,6.36,117,110,7,97.4,0.231,0.364,0.575,0.54,11.7,27.2,0.187,0.523,14.5,74.8,0.232,Footprint Center,"187,781","15,648"
3,Cleveland Cavaliers,25.6,12,7,13,6,6.74,0.2,6.94,116.2,109.4,6.8,96.1,0.288,0.368,0.595,0.555,13.5,24.8,0.231,0.529,13.5,78.6,0.211,Rocket Mortgage Fieldhouse,"155,456","17,273"
4,New Orleans Pelicans,25.9,11,8,13,6,5.53,-0.08,5.45,116.1,110.6,5.5,99.4,0.263,0.336,0.585,0.55,12.6,26.2,0.204,0.538,14.3,77,0.197,Smoothie King Center,"145,899","16,211"
5,Milwaukee Bucks,29.5,13,5,12,6,4.61,-0.6,4.01,111,106.4,4.6,99.6,0.273,0.416,0.555,0.524,13.2,26.4,0.195,0.509,12.2,79.1,0.18,Fiserv Forum,"208,570","17,381"
6,Dallas Mavericks,28.2,9,9,10,8,2.33,0.47,2.81,113.2,110.7,2.5,95,0.309,0.473,0.581,0.546,12.1,19.2,0.228,0.536,14.6,76.3,0.23,American Airlines Center,"220,859","20,078"
7,Philadelphia 76ers,28.3,10,9,11,8,2.32,0.41,2.73,111.4,109,2.4,97.4,0.281,0.396,0.583,0.542,13.2,19.8,0.226,0.525,13.9,77,0.207,Wells Fargo Center,"221,023","20,093"
8,Indiana Pacers,24.2,11,7,10,8,2.28,-1.33,0.95,114.9,112.7,2.2,101.4,0.275,0.453,0.582,0.543,13.8,25.1,0.219,0.54,13.9,75.8,0.236,Gainbridge Fieldhouse,"157,169","14,288"
9,Toronto Raptors,25.8,10,9,11,8,1.79,0.03,1.82,113.8,111.9,1.9,97.4,0.269,0.36,0.545,0.504,11.2,30.1,0.211,0.56,16.1,77,0.225,Scotiabank Arena,"178,200","19,800"
10,Sacramento Kings,25.4,10,8,10,8,2,-0.83,1.17,116.5,114.6,1.9,101.6,0.288,0.435,0.608,0.571,13.3,19.9,0.228,0.562,13.1,79.6,0.215,Golden 1 Center,"146,261","16,251"
11,Utah Jazz,27,12,10,12,10,1.55,-0.28,1.27,116.2,114.6,1.6,99.9,0.24,0.434,0.584,0.552,13.5,27.6,0.189,0.535,12.6,72.2,0.203,Vivint Arena,"145,648","18,206"
12,Memphis Grizzlies,24.6,11,8,10,9,1.26,0.1,1.36,113.8,112.5,1.3,100,0.263,0.371,0.556,0.529,12.2,29.4,0.183,0.539,12.9,76.3,0.195,FedEx Forum,"155,912","17,324"
13,Denver Nuggets,26.8,12,7,10,9,0.68,-1.43,-0.75,115.3,114.6,0.7,98.7,0.255,0.355,0.593,0.563,13.6,24.9,0.192,0.56,12.4,79.2,0.199,Ball Arena,"116,549","19,425"
14,Minnesota Timberwolves,25.5,10,9,10,9,0.53,-1.32,-0.79,111.3,110.8,0.5,101.8,0.266,0.391,0.583,0.547,14.5,23.2,0.209,0.52,13.1,73.9,0.201,Target Center,"163,637","16,364"
15,Atlanta Hawks,25.1,11,8,10,9,0.16,0.54,0.69,112.1,111.9,0.2,101.4,0.236,0.313,0.555,0.514,11.2,24.1,0.197,0.524,13.3,74.4,0.238,State Farm Arena,"174,531","17,453"
16,Portland Trail Blazers,25.4,11,8,10,9,0.11,0.85,0.96,112.8,112.7,0.1,96.8,0.321,0.38,0.581,0.539,14.3,25.3,0.249,0.536,13.1,75.7,0.2,Moda Center,"152,636","19,080"
17,Chicago Bulls,28,8,11,9,10,-0.11,1.56,1.46,111.1,111.2,-0.1,100.1,0.262,0.337,0.574,0.532,13.4,22.8,0.217,0.544,14.5,78.6,0.216,United Center,"198,146","19,815"
18,Brooklyn Nets,28.7,9,11,10,10,-0.25,0.85,0.6,112.7,113,-0.3,98.5,0.259,0.388,0.601,0.566,13.9,18.7,0.207,0.516,12.3,72.9,0.214,Barclays Center,"141,405","17,676"
19,Golden State Warriors,27.5,10,10,10,10,-0.65,-0.2,-0.85,113.3,114,-0.7,102.5,0.208,0.477,0.598,0.569,14.9,21.4,0.168,0.532,13.2,73.7,0.238,Chase Center,"180,640","18,064"
20,Miami Heat,28.1,9,11,9,11,-0.9,0.95,0.05,110.2,111.1,-0.9,97.5,0.277,0.41,0.563,0.514,12.7,21.9,0.234,0.55,14.7,76.5,0.171,FTX Arena,"235,200","19,600"
